{'R_grad_norm': 1.0742009681463243, 'training_loss': 6.918238229751587}
{'R_grad_norm': 1.081103840470314, 'training_loss': 6.790417749881744}
{'R_grad_norm': 1.086712919473648, 'training_loss': 6.636018891334533}
{'R_grad_norm': 1.099434182047844, 'training_loss': 6.559449539184571}
{'R_grad_norm': 1.10424647629261, 'training_loss': 6.444077413082123}
{'R_grad_norm': 1.1073936325311662, 'training_loss': 6.353788959980011}
{'R_grad_norm': 1.10951285302639, 'training_loss': 6.2647919082641605}
{'R_grad_norm': 1.1113542878627778, 'training_loss': 6.1902305388450625}
{'R_grad_norm': 1.113296412229538, 'training_loss': 6.1271100425720215}
{'R_grad_norm': 1.1128470593690871, 'training_loss': 6.074050331115723}
{'R_grad_norm': 1.1139055943489076, 'training_loss': 6.0197367858886714}
{'R_grad_norm': 1.1154466319084166, 'training_loss': 6.000114803314209}
{'R_grad_norm': 1.1141316306591034, 'training_loss': 5.943992829322815}
{'R_grad_norm': 1.1151576179265976, 'training_loss': 5.92163206577301}
{'R_grad_norm': 1.1129520934820176, 'training_loss': 5.889509825706482}
{'R_grad_norm': 1.1093158030509949, 'training_loss': 5.842315094470978}
{'R_grad_norm': 1.1123470556735993, 'training_loss': 5.834128606319427}
{'R_grad_norm': 1.1142375588417053, 'training_loss': 5.833048017024994}
{'R_grad_norm': 1.1138089966773987, 'training_loss': 5.805718050003052}
{'R_grad_norm': 1.1108967703580857, 'training_loss': 5.784439337253571}
{'R_grad_norm': 1.109881546497345, 'training_loss': 5.747589709758759}
{'R_grad_norm': 1.1081174147129058, 'training_loss': 5.722929830551148}
{'R_grad_norm': 1.1074757289886474, 'training_loss': 5.718653526306152}
{'R_grad_norm': 1.1078806525468827, 'training_loss': 5.704199349880218}
{'R_grad_norm': 1.1068642061948777, 'training_loss': 5.6999691653251645}
{'R_grad_norm': 1.1069106811285019, 'training_loss': 5.68345046043396}
{'R_grad_norm': 1.1055549383163452, 'training_loss': 5.68098557472229}
{'R_grad_norm': 1.1064482939243316, 'training_loss': 5.666450748443603}
{'R_grad_norm': 1.1056167924404143, 'training_loss': 5.655325074195861}
{'R_grad_norm': 1.1070763230323792, 'training_loss': 5.654513163566589}
{'R_grad_norm': 1.103422735929489, 'training_loss': 5.634463708400727}
{'R_grad_norm': 1.1039666920900344, 'training_loss': 5.629758758544922}
{'R_grad_norm': 1.1020118641853331, 'training_loss': 5.610414662361145}
{'R_grad_norm': 1.1015303087234498, 'training_loss': 5.601997716426849}
{'R_grad_norm': 1.0996989488601685, 'training_loss': 5.598422014713288}
{'R_grad_norm': 1.1009728163480759, 'training_loss': 5.587927443981171}
{'R_grad_norm': 1.0997501522302628, 'training_loss': 5.56913074016571}
{'R_grad_norm': 1.1015522879362107, 'training_loss': 5.576826205253601}
{'R_grad_norm': 1.0980962812900543, 'training_loss': 5.550968773365021}
{'R_grad_norm': 1.0982662677764892, 'training_loss': 5.556325786113739}
{'R_grad_norm': 1.1002623850107194, 'training_loss': 5.56539510011673}
{'R_grad_norm': 1.0992079597711564, 'training_loss': 5.550473799705506}
{'R_grad_norm': 1.0982531887292861, 'training_loss': 5.5581068110466}
{'R_grad_norm': 1.0957859659194946, 'training_loss': 5.526362342834473}
{'R_grad_norm': 1.0955572998523713, 'training_loss': 5.521870744228363}
{'R_grad_norm': 1.0966826248168946, 'training_loss': 5.531286287307739}
{'R_grad_norm': 1.0968354737758637, 'training_loss': 5.529613564014435}
{'R_grad_norm': 1.0959454607963561, 'training_loss': 5.512465617656708}
{'R_grad_norm': 1.091028533577919, 'training_loss': 5.479168334007263}
{'R_grad_norm': 1.0902449202537536, 'training_loss': 5.484222629070282}
{'R_grad_norm': 1.095169979929924, 'training_loss': 5.497191798686981}
{'R_grad_norm': 1.0933545708656311, 'training_loss': 5.486963798999787}
{'R_grad_norm': 1.0927326452732087, 'training_loss': 5.482579839229584}
{'R_grad_norm': 1.0888062405586243, 'training_loss': 5.465300693511963}
{'R_grad_norm': 1.092967894077301, 'training_loss': 5.487582309246063}
{'R_grad_norm': 1.0915897488594055, 'training_loss': 5.471571228504181}
{'R_grad_norm': 1.0933137828111648, 'training_loss': 5.484848945140839}
{'R_grad_norm': 1.0911629623174668, 'training_loss': 5.460605762004852}
{'R_grad_norm': 1.0911302012205124, 'training_loss': 5.457867727279663}
{'R_grad_norm': 1.0920566594600678, 'training_loss': 5.452966897487641}
{'R_grad_norm': 1.0893427640199662, 'training_loss': 5.457700073719025}
{'R_grad_norm': 1.0892245310544968, 'training_loss': 5.444619743824005}
{'R_grad_norm': 1.0903222262859344, 'training_loss': 5.451985614299774}
{'R_grad_norm': 1.088775976896286, 'training_loss': 5.43342444896698}
{'R_grad_norm': 1.086865753531456, 'training_loss': 5.4353024816513065}
{'R_grad_norm': 1.0891939067840577, 'training_loss': 5.443282268047333}
{'R_grad_norm': 1.0896244466304779, 'training_loss': 5.44138843536377}
{'R_grad_norm': 1.0900498980283737, 'training_loss': 5.4412988185882565}
{'R_grad_norm': 1.0887456595897675, 'training_loss': 5.4289204382896425}
{'R_grad_norm': 1.0892067885398864, 'training_loss': 5.440099790096283}
{'R_grad_norm': 1.089289743900299, 'training_loss': 5.433372781276703}
{'R_grad_norm': 1.0857647401094437, 'training_loss': 5.422641952037811}
{'R_grad_norm': 1.0860380220413208, 'training_loss': 5.416505999565125}
{'R_grad_norm': 1.0881132501363755, 'training_loss': 5.422012915611267}
{'R_grad_norm': 1.0873418527841567, 'training_loss': 5.414048163890839}
{'R_grad_norm': 1.0870013535022736, 'training_loss': 5.421410686969757}
{'R_grad_norm': 1.0847895723581313, 'training_loss': 5.40071163892746}
{'R_grad_norm': 1.0853557735681534, 'training_loss': 5.39669184923172}
{'R_grad_norm': 1.0847019892930985, 'training_loss': 5.390584547519683}
{'R_grad_norm': 1.0872105872631073, 'training_loss': 5.4139705395698545}
{'R_grad_norm': 1.0859346395730973, 'training_loss': 5.402284302711487}
{'R_grad_norm': 1.084616362452507, 'training_loss': 5.39976879119873}
{'R_grad_norm': 1.0836687284708022, 'training_loss': 5.388449504375457}
{'R_grad_norm': 1.0839538925886154, 'training_loss': 5.389770355224609}
{'R_grad_norm': 1.083513195514679, 'training_loss': 5.390813806056976}
{'R_grad_norm': 1.085296779870987, 'training_loss': 5.40360187292099}
{'R_grad_norm': 1.0863039326667785, 'training_loss': 5.410111865997314}
{'R_grad_norm': 1.0823391354084015, 'training_loss': 5.3785186815261845}
{'R_grad_norm': 1.0826158660650254, 'training_loss': 5.372101504802703}
{'R_grad_norm': 1.0844909316301345, 'training_loss': 5.385467708110809}
{'R_grad_norm': 1.0834628200531007, 'training_loss': 5.375234441757202}
{'R_grad_norm': 1.0830851995944977, 'training_loss': 5.373294949531555}
{'R_grad_norm': 1.0836371457576752, 'training_loss': 5.38044116973877}
{'R_grad_norm': 1.0828634977340699, 'training_loss': 5.37619568824768}
{'R_grad_norm': 1.0809746649861336, 'training_loss': 5.366637077331543}
{'R_grad_norm': 1.0838478207588196, 'training_loss': 5.383863177299499}
{'R_grad_norm': 1.083424260020256, 'training_loss': 5.369636478424073}
{'R_grad_norm': 1.0821817964315414, 'training_loss': 5.373652436733246}
{'R_grad_norm': 1.0824863809347152, 'training_loss': 5.36981570482254}
{'R_grad_norm': 1.0831399631500245, 'training_loss': 5.379008684158325}
eval result tensor([4.44142, 5.03205, 6.27577, 5.36941, 4.75612, 4.34139, 4.67787, 4.83259,
        5.69799, 4.72386, 4.99909, 5.61830, 5.65691, 6.40643, 6.13218, 6.26809,
        5.03156, 5.58276, 5.56297, 4.99417, 4.72823, 6.47575, 4.84205, 6.19961],
       device='cuda:0')
computing merge metric
