{'R_grad_norm': 1.7787193304300308, 'training_loss': 12.470222311019898}
{'R_grad_norm': 1.801694421172142, 'training_loss': 12.298128185272217}
{'R_grad_norm': 1.8228050780296325, 'training_loss': 12.1118993806839}
{'R_grad_norm': 1.8369665265083313, 'training_loss': 11.970182614326477}
{'R_grad_norm': 1.8540638047456741, 'training_loss': 11.875890469551086}
{'R_grad_norm': 1.8631834012269974, 'training_loss': 11.767138557434082}
{'R_grad_norm': 1.8689293187856675, 'training_loss': 11.683927240371704}
{'R_grad_norm': 1.8716635155677794, 'training_loss': 11.596301922798157}
{'R_grad_norm': 1.8749584919214248, 'training_loss': 11.52220371723175}
{'R_grad_norm': 1.875373830795288, 'training_loss': 11.453555717468262}
{'R_grad_norm': 1.872520123720169, 'training_loss': 11.346446709632874}
{'R_grad_norm': 1.8756398046016693, 'training_loss': 11.32591628551483}
{'R_grad_norm': 1.8845528489351273, 'training_loss': 11.323314318656921}
{'R_grad_norm': 1.8832353693246842, 'training_loss': 11.250960164070129}
{'R_grad_norm': 1.8824195700883866, 'training_loss': 11.202762761116027}
{'R_grad_norm': 1.8796221494674683, 'training_loss': 11.150968689918518}
{'R_grad_norm': 1.8773762142658235, 'training_loss': 11.082997136116028}
{'R_grad_norm': 1.879456905722618, 'training_loss': 11.058249778747559}
{'R_grad_norm': 1.8826911664009094, 'training_loss': 11.059637150764466}
{'R_grad_norm': 1.8782606726884843, 'training_loss': 10.983051180839539}
{'R_grad_norm': 1.8738739371299744, 'training_loss': 10.940141777992249}
{'R_grad_norm': 1.8729275661706923, 'training_loss': 10.920577211380005}
{'R_grad_norm': 1.865360248684883, 'training_loss': 10.872345504760743}
{'R_grad_norm': 1.8750746458768845, 'training_loss': 10.900750432014465}
{'R_grad_norm': 1.8654738783836364, 'training_loss': 10.808505606651305}
{'R_grad_norm': 1.869570580124855, 'training_loss': 10.833981628417968}
{'R_grad_norm': 1.861289649605751, 'training_loss': 10.777476854324341}
{'R_grad_norm': 1.8607555502653121, 'training_loss': 10.735171155929566}
{'R_grad_norm': 1.8566720169782638, 'training_loss': 10.713293132781983}
{'R_grad_norm': 1.8649365544319152, 'training_loss': 10.722762145996093}
{'R_grad_norm': 1.8634658366441728, 'training_loss': 10.720740551948547}
