{'R_grad_norm': 0.018802380366250874, 'training_loss': 0.19663480170071124}
{'R_grad_norm': 0.021874440442770718, 'training_loss': 0.1862760491669178}
{'R_grad_norm': 0.022338520642369984, 'training_loss': 0.1779511746019125}
{'R_grad_norm': 0.022894547060132026, 'training_loss': 0.17405482999980448}
{'R_grad_norm': 0.023545913696289063, 'training_loss': 0.17120515838265418}
{'R_grad_norm': 0.024020167412236334, 'training_loss': 0.16835944898426533}
{'R_grad_norm': 0.024342360682785513, 'training_loss': 0.16630152583122254}
{'R_grad_norm': 0.025006641047075392, 'training_loss': 0.16351116202771665}
{'R_grad_norm': 0.025677233152091503, 'training_loss': 0.16203404664993287}
{'R_grad_norm': 0.025884738583117725, 'training_loss': 0.1599464028328657}
{'R_grad_norm': 0.025860695289447903, 'training_loss': 0.15925950340926648}
{'R_grad_norm': 0.02608717138879001, 'training_loss': 0.15914075180888176}
{'R_grad_norm': 0.02610908613540232, 'training_loss': 0.15813943557441235}
{'R_grad_norm': 0.025894283996894956, 'training_loss': 0.15794371157884599}
{'R_grad_norm': 0.0260620238725096, 'training_loss': 0.1586367290467024}
{'R_grad_norm': 0.026135165421292187, 'training_loss': 0.15768157429993152}
{'R_grad_norm': 0.02646482759155333, 'training_loss': 0.15860639862716197}
{'R_grad_norm': 0.026456142300739883, 'training_loss': 0.1576370644569397}
{'R_grad_norm': 0.02664949604310095, 'training_loss': 0.15711097911000252}
{'R_grad_norm': 0.027193088522180914, 'training_loss': 0.15714989624917508}
{'R_grad_norm': 0.027494651898741722, 'training_loss': 0.1574119359254837}
{'R_grad_norm': 0.027812709053978323, 'training_loss': 0.15731367535889149}
{'R_grad_norm': 0.027572576133534313, 'training_loss': 0.15653642922639846}
{'R_grad_norm': 0.027629250809550285, 'training_loss': 0.15607360139489174}
{'R_grad_norm': 0.027883620420470833, 'training_loss': 0.15647092431783677}
{'R_grad_norm': 0.027792724948376417, 'training_loss': 0.15608837306499482}
{'R_grad_norm': 0.027829403579235076, 'training_loss': 0.15690813809633256}
{'R_grad_norm': 0.02798255373723805, 'training_loss': 0.15627516843378544}
{'R_grad_norm': 0.028174521885812282, 'training_loss': 0.15733237087726593}
{'R_grad_norm': 0.02822502374649048, 'training_loss': 0.1566131266951561}
{'R_grad_norm': 0.028296121573075653, 'training_loss': 0.15644734218716622}
{'R_grad_norm': 0.02848504704423249, 'training_loss': 0.15591424003243445}
{'R_grad_norm': 0.028570834565907716, 'training_loss': 0.15587188348174094}
{'R_grad_norm': 0.028748065372928976, 'training_loss': 0.15624612666666507}
{'R_grad_norm': 0.028714062608778478, 'training_loss': 0.1569139563292265}
{'R_grad_norm': 0.028902928363531828, 'training_loss': 0.15564521118998528}
{'R_grad_norm': 0.028828633120283484, 'training_loss': 0.1559470321983099}
{'R_grad_norm': 0.02843492946587503, 'training_loss': 0.1551356775313616}
{'R_grad_norm': 0.0286838654614985, 'training_loss': 0.15559938617050648}
{'R_grad_norm': 0.028862501410767436, 'training_loss': 0.15654790438711644}
{'R_grad_norm': 0.028681256296113133, 'training_loss': 0.1556330118328333}
{'R_grad_norm': 0.028757950542494654, 'training_loss': 0.1552976781129837}
{'R_grad_norm': 0.028828074717894198, 'training_loss': 0.15589692667126656}
{'R_grad_norm': 0.028613632936030628, 'training_loss': 0.15628701210021972}
{'R_grad_norm': 0.029039305401965976, 'training_loss': 0.1560700134932995}
{'R_grad_norm': 0.028893548185005783, 'training_loss': 0.15624442487955092}
{'R_grad_norm': 0.028971242448315025, 'training_loss': 0.15572859689593316}
{'R_grad_norm': 0.028640836905688048, 'training_loss': 0.15494498386979103}
{'R_grad_norm': 0.028956703571602703, 'training_loss': 0.15591946467757226}
{'R_grad_norm': 0.02886861658655107, 'training_loss': 0.15546441055834292}
finish training (10000)
evaluating (25 steps)...
 ******* eval result *******
mean (weighted) 0.155416339635849
mean (unweighted) 0.155416339635849
tensor([0.1416, 0.1692])
