{'R_grad_norm': 3.8784365129470824, 'training_loss': 18.842349452972414}
{'R_grad_norm': 4.0754674887657165, 'training_loss': 18.56465665817261}
{'R_grad_norm': 4.2369101619720455, 'training_loss': 18.28729984283447}
{'R_grad_norm': 4.32065759897232, 'training_loss': 18.054766368865966}
{'R_grad_norm': 4.394864709377289, 'training_loss': 17.875144481658936}
{'R_grad_norm': 4.461583752632141, 'training_loss': 17.754403352737427}
{'R_grad_norm': 4.509866049289704, 'training_loss': 17.620192546844482}
{'R_grad_norm': 4.559294505119324, 'training_loss': 17.514973592758178}
{'R_grad_norm': 4.584001955986023, 'training_loss': 17.417493438720705}
{'R_grad_norm': 4.613965744972229, 'training_loss': 17.30707872390747}
{'R_grad_norm': 4.604291372299194, 'training_loss': 17.23284764766693}
{'R_grad_norm': 4.596791319847107, 'training_loss': 17.12129361152649}
{'R_grad_norm': 4.645832598209381, 'training_loss': 17.07608480453491}
{'R_grad_norm': 4.648838930130005, 'training_loss': 17.03816547870636}
{'R_grad_norm': 4.657073574066162, 'training_loss': 16.907685256004335}
{'R_grad_norm': 4.664560253620148, 'training_loss': 16.85195176124573}
{'R_grad_norm': 4.675918719768524, 'training_loss': 16.865517649650574}
{'R_grad_norm': 4.702307662963867, 'training_loss': 16.787866163253785}
{'R_grad_norm': 4.697521724700928, 'training_loss': 16.806340107917787}
{'R_grad_norm': 4.694238591194153, 'training_loss': 16.693006329536438}
{'R_grad_norm': 4.686462483406067, 'training_loss': 16.67658961772919}
{'R_grad_norm': 4.706571333408355, 'training_loss': 16.672999444007875}
{'R_grad_norm': 4.698845796585083, 'training_loss': 16.615130457878113}
{'R_grad_norm': 4.730107355117798, 'training_loss': 16.59715552330017}
{'R_grad_norm': 4.682904396057129, 'training_loss': 16.57490911960602}
{'R_grad_norm': 4.677706038951873, 'training_loss': 16.54962063789368}
{'R_grad_norm': 4.690995550155639, 'training_loss': 16.507332420349123}
{'R_grad_norm': 4.697597010135651, 'training_loss': 16.47658664703369}
{'R_grad_norm': 4.682009243965149, 'training_loss': 16.438396978378297}
{'R_grad_norm': 4.668574333190918, 'training_loss': 16.4732998752594}
{'R_grad_norm': 4.6879059195518495, 'training_loss': 16.43931007385254}
{'R_grad_norm': 4.691432254314423, 'training_loss': 16.362134227752687}
{'R_grad_norm': 4.689414992332458, 'training_loss': 16.3928022480011}
{'R_grad_norm': 4.686100370883942, 'training_loss': 16.323736367225646}
{'R_grad_norm': 4.683285732269287, 'training_loss': 16.320909571647643}
{'R_grad_norm': 4.659380855560303, 'training_loss': 16.33746284008026}
{'R_grad_norm': 4.676143817901611, 'training_loss': 16.28689642906189}
{'R_grad_norm': 4.690319530963897, 'training_loss': 16.275999388694764}
{'R_grad_norm': 4.659026253223419, 'training_loss': 16.261921801567077}
{'R_grad_norm': 4.66542685508728, 'training_loss': 16.26598792076111}
{'R_grad_norm': 4.660035243034363, 'training_loss': 16.200793552398682}
{'R_grad_norm': 4.657284183502197, 'training_loss': 16.208518080711364}
{'R_grad_norm': 4.64560364484787, 'training_loss': 16.18881175518036}
{'R_grad_norm': 4.646042358875275, 'training_loss': 16.13980143070221}
{'R_grad_norm': 4.656265299320221, 'training_loss': 16.17195055484772}
{'R_grad_norm': 4.67318208694458, 'training_loss': 16.153903751373292}
{'R_grad_norm': 4.672306468486786, 'training_loss': 16.1545370054245}
{'R_grad_norm': 4.635852127075196, 'training_loss': 16.133179306983948}
{'R_grad_norm': 4.654172720909119, 'training_loss': 16.08051013469696}
{'R_grad_norm': 4.674757885932922, 'training_loss': 16.098378205299376}
{'R_grad_norm': 4.6401970887184145, 'training_loss': 16.07174611568451}
{'R_grad_norm': 4.6450438523292545, 'training_loss': 16.097926788330078}
{'R_grad_norm': 4.641587839126587, 'training_loss': 16.054860920906066}
{'R_grad_norm': 4.645960578918457, 'training_loss': 16.027402696609496}
{'R_grad_norm': 4.627833113670349, 'training_loss': 16.038821511268615}
{'R_grad_norm': 4.639107148647309, 'training_loss': 16.09027756214142}
{'R_grad_norm': 4.661483528614045, 'training_loss': 16.06259307384491}
{'R_grad_norm': 4.620805287361145, 'training_loss': 16.00808207511902}
{'R_grad_norm': 4.62160471200943, 'training_loss': 16.038677473068237}
{'R_grad_norm': 4.627207276821136, 'training_loss': 15.999964189529418}
{'R_grad_norm': 4.622925972938537, 'training_loss': 15.99208122730255}
{'R_grad_norm': 4.636397268772125, 'training_loss': 16.030747566223145}
{'R_grad_norm': 4.619576110839843, 'training_loss': 15.975012254714965}
{'R_grad_norm': 4.615223271846771, 'training_loss': 15.933733720779419}
{'R_grad_norm': 4.6112488794326785, 'training_loss': 15.983890070915223}
{'R_grad_norm': 4.617140755653382, 'training_loss': 15.964169535636902}
{'R_grad_norm': 4.632831425666809, 'training_loss': 15.936682438850402}
{'R_grad_norm': 4.634327654838562, 'training_loss': 15.939482221603393}
{'R_grad_norm': 4.62870126247406, 'training_loss': 15.950404205322265}
{'R_grad_norm': 4.604463031291962, 'training_loss': 15.932360935211182}
{'R_grad_norm': 4.610892100334167, 'training_loss': 15.901507029533386}
{'R_grad_norm': 4.613806130886078, 'training_loss': 15.908784627914429}
{'R_grad_norm': 4.612160580158234, 'training_loss': 15.924939584732055}
{'R_grad_norm': 4.610527148246765, 'training_loss': 15.887167811393738}
{'R_grad_norm': 4.598481764793396, 'training_loss': 15.892040696144104}
{'R_grad_norm': 4.589494762420654, 'training_loss': 15.887470326423646}
