{'R_grad_norm': 1.2466533142328262, 'training_loss': 8.438757982254028}
{'R_grad_norm': 1.2556972616910935, 'training_loss': 8.328883364200593}
{'R_grad_norm': 1.2651342195272446, 'training_loss': 8.178872337341309}
{'R_grad_norm': 1.2752659457921982, 'training_loss': 8.094507138729096}
{'R_grad_norm': 1.2826570177078247, 'training_loss': 8.004924826622009}
{'R_grad_norm': 1.2858456379175187, 'training_loss': 7.904928684234619}
{'R_grad_norm': 1.2921159827709199, 'training_loss': 7.850753779411316}
{'R_grad_norm': 1.2928505855798722, 'training_loss': 7.7605585813522335}
{'R_grad_norm': 1.2952880156040192, 'training_loss': 7.698039855957031}
{'R_grad_norm': 1.2968993657827377, 'training_loss': 7.636850905418396}
{'R_grad_norm': 1.294663971066475, 'training_loss': 7.585969452857971}
{'R_grad_norm': 1.2970050919055938, 'training_loss': 7.537321264743805}
{'R_grad_norm': 1.2967849153280258, 'training_loss': 7.494320056438446}
{'R_grad_norm': 1.2955098992586136, 'training_loss': 7.444695448875427}
{'R_grad_norm': 1.2959280860424043, 'training_loss': 7.428549151420594}
{'R_grad_norm': 1.2926194137334823, 'training_loss': 7.36283136844635}
{'R_grad_norm': 1.291255304813385, 'training_loss': 7.325676920413971}
{'R_grad_norm': 1.2943080013990402, 'training_loss': 7.33108690738678}
{'R_grad_norm': 1.2903022766113281, 'training_loss': 7.288294949531555}
{'R_grad_norm': 1.2954205811023711, 'training_loss': 7.302836320400238}
{'R_grad_norm': 1.2932882142066955, 'training_loss': 7.255895850658416}
{'R_grad_norm': 1.2925224500894545, 'training_loss': 7.218208048343659}
{'R_grad_norm': 1.293008301258087, 'training_loss': 7.224921064376831}
{'R_grad_norm': 1.2893109172582626, 'training_loss': 7.176487822532653}
{'R_grad_norm': 1.2887283444404602, 'training_loss': 7.15637033700943}
{'R_grad_norm': 1.2908519756793977, 'training_loss': 7.157193384170532}
{'R_grad_norm': 1.2906265246868134, 'training_loss': 7.130442576408386}
{'R_grad_norm': 1.2900110787153245, 'training_loss': 7.131728961467743}
{'R_grad_norm': 1.2865245831012726, 'training_loss': 7.0972299790382385}
{'R_grad_norm': 1.2882143545150757, 'training_loss': 7.088410177230835}
